reward	loss	steps
142.0	6.5806721188127995	143
4.0	5.922425989061594	5
6.0	5.8424279391765594	7
3.0	7.141515463590622	4
5.0	8.714341014623642	6
3.0	8.314783066511154	4
1.0	8.511803925037384	2
7.0	10.296500265598297	8
8.0	9.27911464869976	9
7.0	12.785461828112602	8
1.0	13.172245994210243	2
3.0	12.24876894056797	4
5.0	11.875309199094772	6
6.0	12.351628042757511	7
2.0	9.447147406637669	3
8.0	6.974286146461964	9
8.0	4.864580564200878	9
7.0	3.96617441624403	8
13.0	5.658476062119007	14
40.0	2.3133921921253204	41
101.0	-3.1832100823521614	102
100.0	-10.417745374143124	101
239.0	-3.727310709655285	240
239.0	-23.312593512237072	240
158.0	-3.1512867882847786	159
46.0	-6.1341477036476135	47
18.0	-5.383709743618965	19
6.0	-10.356379047036171	7
295.0	18.978083595633507	296
565.0	32.63078787922859	566
77.0	31.960465194657445	78
1530.0	50.36669540591538	1531
633.0	33.5700889993459	634
247.0	33.943066054955125	248
336.0	14.795193875208497	337
25.0	9.62259983457625	26
561.0	6.033723706379533	562
1636.0	30.210930014029145	1637
739.0	33.875196332111955	740
788.0	13.526883626356721	789
19.0	6.207965517416596	20
17.0	4.319032156839967	18
16.0	3.3667401131242514	17
3.0	3.878671770915389	4
7.0	2.0766874607652426	8
3.0	1.931033467873931	4
3.0	1.4565165992826223	4
2.0	3.3913241382688284	3
2.0	3.2899102959781885	3
3.0	3.573919216170907	4
1.0	3.3818790409713984	2
3.0	3.2019644770771265	4
4.0	2.1256192568689585	5
6.0	0.9137298706918955	7
3.0	-0.8600560780614614	4
3.0	-1.1371546741575003	4
4.0	-1.155918454984203	5
5.0	-3.1985956786666065	6
5.0	-0.987977301934734	6
3.0	-1.851361489156261	4
3.0	-1.7192384956870228	4
5.0	-10.193677162984386	6
3.0	-9.836695408681408	4
4.0	-6.361441230634227	5
2.0	-5.488364136079326	3
3.0	-5.884088790277019	4
3.0	-5.712472236016765	4
2.0	-5.662767365807667	3
2.0	-5.534548074239865	3
3.0	-6.038977176183835	4
5.0	-5.353737548226491	6
2.0	-5.473806254798546	3
3.0	-6.5763946699444205	4
3.0	-5.255953066283837	4
3.0	-5.539564840728417	4
3.0	-5.335406296188012	4
4.0	-3.9378594683948904	5
2.0	-4.523156635696068	3
3.0	-6.034411780769005	4
2.0	-3.7492834257427603	3
2.0	-3.5399815591517836	3
3.0	-3.7099246534053236	4
2.0	-4.510084107751027	3
2.0	-4.0901784303132445	3
4.0	-4.910081073874608	5
2.0	-4.821408355841413	3
5.0	-4.4626937007997185	6
3.0	-4.265540609369054	4
3.0	-4.534405688056722	4
2.0	-5.275870362529531	3
3.0	-5.377810815582052	4
3.0	-5.484032580861822	4
4.0	-7.999004075536504	5
3.0	-7.248185584554449	4
6.0	-6.764678137609735	7
4.0	-6.087257789680734	5
4.0	-6.93861641199328	5
4.0	-6.28740474791266	5
5.0	-3.8244806251022965	6
2.0	-3.5509867689106613	3
